x,x1933,x1934,x1935,x1936,x1937,x1938
Federal Housing Administration,0,0,0,4067,0,0
Title I - Notes Insured,0,0,0,4067,0,0
"Grants, Payments and Expenditures",0,0,0,0,0,0
Public Works Admn.(Federal),0,3217345,3671443,928311,36598,0
Veterans' Administration,115717,84040,90048,112963,73762,76753
Balance from Relief Acts c/,0,0,0,242824,455938,1238
