x,x1933,x1934,x1935,x1936,x1937,x1938
Agricultural Adjustment Admn. $,0,0,2763407,12253972,805047,1300
Public Works Admn.(Federal),0,48189,23171,7377,0,0
Books for the Blind,300,238,297,244,234,198
Veterans' Administration,2222679,1304568,2230522,2812123,2959457,3065718
